,district,living_space,price,room_count,access_date,bathroom_count,date_added,owner,property_type,link,smoker,title
437,bemowo,45.0,1850,2,2021-11-11,1.0,10/11/2021,Właściciel,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/dla-pary-przytulne-mieszkanie-45-m2-do-wynajecia-bezposrednio-bemowo/10010131643561011421580609,,Dla pary przytulne mieszkanie 45 m2 do wynajęcia bezpośrednio Bemowo 
24,bemowo,68.0,3400,3,2021-11-03,1.0,30/09/2021,Właściciel,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/mieszkanie-bemowo-sternicza/1009963001440910825622409,,Mieszkanie Bemowo Sternicza
602,bemowo,300.0,13000,6,,3.0,16/11/2021,Agencja,Dom,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/duzy-dom-na-bemowie/10010157407901010469204609,,Duży dom na Bemowie
1067,bemowo,78.0,2800,3,,1.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/3-pokojowe-mieszkanie-78m2-bemowo/10010155774071012506060109,,"3 pokojowe mieszkanie, 78m2, Bemowo"
230,bemowo,62.0,2800,3,2021-11-08,2.0,12/09/2021,Właściciel,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/ciche-sloneczne-3-pok-mieszkanie-62m2-po-remoncie-swietnie-skomunikowane/1009883639070910550931809,,"Ciche, słoneczne 3 pok. mieszkanie 62m2, po remoncie, świetnie skomunikowane"
580,bemowo,300.0,13000,6,,,16/11/2021,Agencja,Dom,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/dom-warszawa-bemowo-300m2-nr-11164/10010157809341011482840309,,Dom Warszawa Bemowo 300m2 (nr: 11164)
564,bemowo,53.0,1800,2,2021-11-16,1.0,07/09/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/2-nieprzechodnie-pokoje-z-garazem-na-zamknietym-osiedlu/1009860954020910509295909,,2 nieprzechodnie pokoje z garażem na zamkniętym osiedlu
236,bemowo,55.0,2500,2,,,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/wygodne-dwa-pokoje-z-wydzielona-kuchnia/10010158506911012710620009,,Wygodne dwa pokoje z wydzieloną kuchnią
555,bemowo,135.0,5500,4,,2.0,16/11/2021,Agencja,Dom,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/dom-na-bemowie/10010157994351010469204609,,Dom na Bemowie
254,bemowo,52.0,2600,2,2021-11-01,1.0,01/11/2021,Właściciel,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/do-wynajecia-mieszkanie-w-cichej-lokalizacji/10010095078101010476671909,,Do wynajęcia mieszkanie w cichej lokalizacji 
41,bemowo,67.0,2250,3,2021-11-17,1.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/bemowo-ul-czluchowska-komfortowe+wysoki-standard-wykoncznia-super-lux-apartamentowiec-2010r-garaz/10010159476321010750461009,,"Bemowo ul. Człuchowska, komfortowe-wysoki standard wykończnia SUPER LUX, apartamentowiec 2010r Garaż"
523,bemowo,200.0,9000,6,,,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/dwupoziomowy-apartament-7-pokoi-200-m2/10010158476031012710620009,,"Dwupoziomowy apartament, 7 pokoi, 200 m2"
522,bemowo,62.0,2750,3,,,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/trzy-niezalezne-pokoje-oddzielna-kuchnia-garaz/10010157916711012710620009,,"Trzy niezależne pokoje, oddzielna kuchnia, garaż"
270,bemowo,60.0,3500,3,,,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/bardzo-ladne-3-pokoje-komorka-w-cenie/10010158563141012710620009,,"Bardzo ładne 3 pokoje, komórka w cenie"
490,bemowo,64.0,2800,2,,,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/luksusowy-apartament-z-balkonem-garaz-w-cenie/10010157916821012710620009,,"Luksusowy apartament z balkonem, garaż w cenie"
271,bemowo,49.0,2500,2,,,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/salon-z-aneksem-i-sypialnia-super-balkon-garaz/10010158509981012710620009,,"Salon z aneksem i sypialnia, super balkon! garaż"
351,bemowo,78.0,2800,3,,,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/przestronny-salon-i-dwa-oddzielne-pokoje/10010158506271012710620009,,Przestronny salon i dwa oddzielne pokoje
464,bemowo,66.0,2900,3,,,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/salon-z-aneksem-i-2-pokoje-2-balkony-garaz/10010158476271012710620009,,"Salon z aneksem i 2 pokoje, 2 balkony, garaż"
181,bemowo,61.0,2900,2,2021-11-16,1.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/61m-2-pokojowe-garaz-ochrona-przy-parku-gorczewska-ul-krysztalowa/10010158903081010471298109,,"61m 2 pokojowe. garaż, ochrona Przy Parku Górczewska ul Kryształowa"
619,bemowo,47.0,2000,2,2021-12-01,1.0,16/11/2021,Właściciel,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/ciche-2-pokoje-obok-ratusza-bemowo-%252B-balkon-%252B-garaz-bezposrednio/10010157357461010470598009,,"Ciche 2 pokoje Obok Ratusza Bemowo + balkon + garaż, Bezpośrednio"
188,bemowo,68.0,3000,3,,1.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/3-pokoje-68m2-bemowo-ul-zaborowska-3/10010158845121011341374709,,"3 pokoje, 68m2, Bemowo, ul. Zaborowska 3"
642,bemowo,54.0,2500,2,2022-01-01,,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/mieszkanie-2-pokoje-ulica-narwik/10010157142931010465620709,,Mieszkanie 2 pokoje ulica Narwik
1055,bemowo,200.0,8000,6,,3.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/apartament-200m2-do-wynajecia/10010155784381012506060109,,Apartament 200m2 do wynajęcia
847,bemowo,48.0,1750,2,,1.0,16/11/2021,Agencja,Mieszkanie,https://www.gumtree.pl/a-mieszkania-i-domy-do-wynajecia/bemowo/bez-prowizji-2+pok-garderoba-gorce/10010156860871012776000109,,Bez prowizji: 2-pok. |garderoba| Górce
